日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/04/16,"46,873,293","3,488,949,075",74.00,75.00,73.80,74.00,-0.10,"16,737"
109/04/17,"71,076,153","5,396,376,021",75.50,76.50,75.30,75.80,+1.80,"29,356"
109/04/20,"34,062,921","2,589,741,185",76.10,76.60,75.40,76.20,+0.40,"13,541"
109/04/21,"50,476,839","3,748,124,545",75.20,75.50,73.50,73.50,-2.70,"26,194"
109/04/22,"27,664,535","2,028,813,790",72.60,73.90,72.50,73.90,+0.40,"11,631"
109/04/23,"26,918,129","1,999,116,982",74.20,75.20,73.60,74.00,+0.10,"10,752"
109/04/24,"18,097,847","1,338,133,578",74.00,74.20,73.70,73.80,-0.20,"8,073"
109/04/27,"28,422,746","2,127,044,766",74.20,75.20,74.20,74.90,+1.10,"12,354"
109/04/28,"22,472,772","1,686,693,617",75.10,75.40,74.80,75.20,+0.30,"9,829"
109/04/29,"32,618,555","2,472,509,066",75.20,76.20,75.10,75.60,+0.40,"15,525"
109/04/30,"50,247,112","3,846,340,874",76.20,77.00,76.00,77.00,+1.40,"21,023"
109/05/04,"50,274,654","3,743,144,292",74.00,75.00,73.90,74.50,-2.50,"24,021"
109/05/05,"30,499,283","2,267,358,676",74.70,75.00,74.00,74.10,-0.40,"14,431"
109/05/06,"26,782,236","1,994,740,599",74.10,75.20,74.10,74.30,+0.20,"12,458"
109/05/07,"31,856,315","2,394,950,417",74.50,75.80,74.50,75.20,+0.90,"13,922"
109/05/08,"38,394,983","2,932,358,445",76.80,76.80,75.90,76.20,+1.00,"17,416"
109/05/11,"59,444,957","4,658,299,492",76.90,79.20,76.90,78.90,+2.70,"28,011"
109/05/12,"45,434,634","3,527,174,435",78.30,78.40,77.00,77.30,-1.60,"21,458"
109/05/13,"43,132,241","3,378,556,440",77.70,78.80,77.70,78.80,+1.50,"21,005"
109/05/14,"42,128,911","3,298,686,731",78.00,78.90,78.00,78.20,-0.60,"19,774"
109/05/15,"47,550,082","3,678,862,332",78.20,78.60,76.40,77.10,-1.10,"22,470"
109/05/18,"57,978,171","4,380,323,435",76.60,76.60,74.90,75.00,-2.10,"26,917"
109/05/19,"49,410,505","3,711,927,230",75.40,76.00,74.60,74.80,-0.20,"21,590"
109/05/20,"30,828,720","2,304,984,331",74.90,75.30,74.50,74.50,-0.30,"13,870"
109/05/21,"24,213,322","1,809,690,550",74.50,75.00,74.30,74.70,+0.20,"11,673"
109/05/22,"46,433,168","3,429,622,432",74.20,74.40,73.50,73.60,-1.10,"24,358"
109/05/25,"26,982,259","1,975,050,566",73.50,73.60,72.60,73.60, 0.00,"13,590"
109/05/26,"28,310,825","2,118,555,875",73.70,75.30,73.60,74.80,+1.20,"12,743"
109/05/27,"22,380,029","1,681,599,201",74.80,75.50,74.80,75.30,+0.50,"9,717"
109/05/28,"26,184,820","1,974,966,847",75.70,75.90,74.80,75.30, 0.00,"11,142"
109/05/29,"44,896,709","3,390,842,168",74.30,75.80,74.30,75.80,+0.50,"8,845"
109/06/01,"25,890,941","1,978,249,140",76.00,76.80,75.90,76.20,+0.40,"11,983"
109/06/02,"46,411,048","3,578,984,344",76.50,77.50,76.40,77.10,+0.90,"17,377"
109/06/03,"42,871,656","3,345,926,880",78.00,78.40,77.60,78.10,+1.00,"20,113"
109/06/04,"43,657,351","3,416,129,837",78.50,78.70,77.60,78.40,+0.30,"16,411"
109/06/05,"33,935,695","2,653,168,238",78.10,78.50,77.80,78.50,+0.10,"14,514"
109/06/08,"53,575,560","4,252,869,778",79.10,79.80,78.80,79.70,+1.20,"25,563"
109/06/09,"38,143,498","3,037,880,359",79.30,80.20,78.90,79.50,-0.20,"17,925"
109/06/10,"25,863,059","2,061,805,675",79.60,79.90,79.10,79.90,+0.40,"11,783"
109/06/11,"42,535,010","3,373,446,609",79.90,80.30,78.10,78.60,-1.30,"19,143"
109/06/12,"30,382,486","2,353,848,108",77.30,78.00,76.60,78.00,-0.60,"14,859"
109/06/15,"26,332,046","2,038,172,490",77.70,77.90,77.00,77.00,-1.00,"12,905"
109/06/16,"22,339,775","1,747,515,973",77.80,78.50,77.70,78.40,+1.40,"9,686"
109/06/17,"18,039,312","1,413,407,434",78.90,79.00,77.90,78.20,-0.20,"8,443"
109/06/18,"18,089,756","1,416,482,565",78.40,78.70,77.70,78.50,+0.30,"7,536"
109/06/19,"35,887,232","2,822,258,010",78.60,78.90,78.10,78.80,+0.30,"7,669"
109/06/22,"16,769,227","1,318,411,513",78.70,78.90,78.20,78.90,+0.10,"7,610"
109/06/23,"45,708,143","3,655,911,340",79.60,80.70,79.30,80.20,+1.30,"20,574"
109/06/24,"88,391,479","7,322,897,783",81.10,83.50,81.00,83.50,+3.30,"41,893"
109/06/29,"98,493,392","8,314,264,132",83.60,85.80,83.40,85.20,+1.70,"39,748"
109/06/30,"57,741,437","4,972,422,082",86.00,86.40,85.70,86.30,+1.10,"23,058"
109/07/01,"44,576,514","3,854,998,428",86.50,87.60,85.50,85.90,-0.40,"22,175"
109/07/02,"34,490,431","2,950,800,438",85.80,86.00,84.60,86.00,+0.10,"16,916"
109/07/03,"44,883,049","3,832,093,245",86.10,86.20,85.10,85.30,-0.70,"21,640"
109/07/06,"44,370,881","3,833,581,654",85.70,86.60,85.60,86.40,+1.10,"17,935"
109/07/07,"52,853,744","4,572,499,757",87.10,87.50,85.60,87.00,+0.60,"21,050"
109/07/08,"40,532,208","3,524,880,599",87.00,87.30,86.60,87.00, 0.00,"15,078"
109/07/09,"51,421,490","4,442,391,525",87.30,87.40,85.80,86.20,-0.80,"20,494"
109/07/10,"55,453,243","4,737,240,248",86.20,86.20,84.80,84.80,-1.40,"22,536"
109/07/13,"36,625,700","3,154,223,682",85.40,86.70,85.40,86.70,+1.90,"14,492"
109/07/14,"34,934,410","3,029,522,815",86.80,87.50,86.30,86.30,-0.40,"13,706"
109/07/15,"47,807,002","4,148,430,451",86.60,87.20,86.50,86.60,+0.30,"22,664"
109/07/16,"50,530,654","4,420,166,927",87.00,88.00,86.90,87.60,+1.00,"20,067"
109/07/17,"48,813,379","4,307,330,703",88.30,88.60,87.60,88.00,+0.40,"21,341"
109/07/20,"74,478,567","6,424,395,139",88.00,88.00,85.00,86.80,-1.20,"29,010"
109/07/21,"74,962,395","6,405,280,586",86.00,86.10,85.10,85.30,-1.50,"34,475"
109/07/22,"73,724,655","6,309,707,947",85.30,86.00,85.10,85.90,+0.60,"28,177"
109/07/23,"79,361,972","6,498,304,084",81.30,82.50,81.10,82.10,X0.00,"31,355"
109/07/24,"50,435,732","4,076,404,565",81.50,81.90,80.00,80.00,-2.10,"23,339"
109/07/27,"68,636,332","5,391,711,702",79.60,79.90,78.00,78.00,-2.00,"29,796"
109/07/28,"89,739,664","7,145,636,184",77.80,82.70,77.30,78.40,+0.40,"36,892"
109/07/29,"39,362,154","3,086,153,861",78.60,79.80,78.00,78.00,-0.40,"20,547"
109/07/30,"40,501,045","3,157,449,637",78.70,78.80,77.50,78.00, 0.00,"17,186"
109/07/31,"47,089,202","3,713,121,252",78.50,79.40,78.40,78.40,+0.40,"17,849"
109/08/03,"61,172,243","4,755,970,977",78.40,78.90,77.10,77.10,-1.30,"28,055"
109/08/04,"23,090,382","1,797,852,065",77.70,78.20,77.50,78.10,+1.00,"10,819"
109/08/05,"27,876,127","2,178,907,032",78.30,78.50,77.90,77.90,-0.20,"14,160"
109/08/06,"33,250,505","2,629,079,995",79.30,79.70,78.50,79.00,+1.10,"16,746"
109/08/07,"21,862,438","1,721,842,306",79.60,79.60,78.30,78.30,-0.70,"11,805"
109/08/10,"49,798,520","3,990,124,915",79.20,80.90,79.10,80.50,+2.20,"23,279"
109/08/11,"30,816,578","2,468,946,640",81.00,81.10,79.60,79.80,-0.70,"13,848"
109/08/12,"45,677,601","3,690,920,427",80.90,81.50,79.90,81.40,+1.60,"20,916"
109/08/13,"91,723,728","7,358,971,725",82.00,82.30,79.20,79.50,-1.90,"36,555"
109/08/14,"35,459,498","2,840,778,377",79.80,80.70,79.60,80.40,+0.90,"13,587"
109/08/17,"23,622,631","1,896,828,119",80.70,80.70,80.00,80.20,-0.20,"11,055"
109/08/18,"33,226,399","2,650,389,582",80.50,80.50,79.30,79.80,-0.40,"11,086"
109/08/19,"34,690,778","2,772,846,440",80.90,80.90,79.30,79.30,-0.50,"13,857"
109/08/20,"62,249,250","4,824,965,577",79.60,79.90,75.60,77.10,-2.20,"28,426"
109/08/21,"24,487,793","1,910,674,209",78.20,78.40,77.50,78.20,+1.10,"11,775"
109/08/24,"21,801,923","1,698,792,494",78.20,78.40,77.60,77.60,-0.60,"8,976"
109/08/25,"17,655,262","1,381,004,042",78.10,78.50,77.80,78.30,+0.70,"7,599"
109/08/26,"16,286,412","1,272,133,537",78.30,78.40,77.90,78.20,-0.10,"7,049"
109/08/27,"24,154,047","1,879,109,966",78.20,78.70,77.50,77.50,-0.70,"11,696"
109/08/28,"25,486,462","1,976,344,876",77.40,78.20,77.10,77.50, 0.00,"11,424"
109/08/31,"30,590,373","2,364,666,097",77.80,78.00,76.90,76.90,-0.60,"9,800"
109/09/01,"22,918,104","1,761,448,751",76.90,77.30,76.40,77.00,+0.10,"9,429"
109/09/02,"24,934,189","1,926,749,142",77.20,77.80,77.00,77.80,+0.80,"10,679"
109/09/03,"41,884,369","3,282,356,882",78.80,79.30,77.60,77.70,-0.10,"19,460"
109/09/04,"36,806,710","2,831,784,400",77.00,77.30,76.60,76.90,-0.80,"15,981"
109/09/07,"21,248,188","1,638,392,849",76.80,77.50,76.80,77.30,+0.40,"10,350"
109/09/08,"26,249,612","2,037,963,124",77.70,78.10,77.30,77.50,+0.20,"9,471"
109/09/09,"22,505,471","1,737,061,038",77.30,77.90,76.60,77.90,+0.40,"10,226"
109/09/10,"29,117,204","2,283,088,513",78.00,78.70,78.00,78.50,+0.60,"12,763"
109/09/11,"16,132,726","1,263,705,910",78.50,78.50,78.00,78.50, 0.00,"7,897"
109/09/14,"27,029,525","2,139,654,572",78.80,79.50,78.60,79.40,+0.90,"13,151"
109/09/15,"16,938,546","1,340,750,906",79.40,79.40,78.90,79.10,-0.30,"7,801"
109/09/16,"18,122,360","1,429,007,221",79.40,79.40,78.60,78.80,-0.30,"8,344"
109/09/17,"20,784,040","1,628,079,884",78.60,79.10,78.00,78.10,-0.70,"10,005"
109/09/18,"32,663,875","2,538,932,050",77.90,78.20,77.50,77.60,-0.50,"9,826"
109/09/21,"19,006,472","1,475,770,876",77.60,78.30,77.30,77.40,-0.20,"9,495"
109/09/22,"25,601,394","1,969,959,728",77.30,77.30,76.50,76.80,-0.60,"10,596"
109/09/23,"18,141,854","1,392,920,098",77.00,77.20,76.60,76.70,-0.10,"8,408"
109/09/24,"57,338,020","4,323,761,301",76.10,76.40,75.00,75.00,-1.70,"27,989"
109/09/25,"38,124,876","2,845,940,140",75.40,75.70,74.10,74.30,-0.70,"17,695"
109/09/28,"32,250,992","2,463,972,584",74.90,76.90,74.80,76.90,+2.60,"14,071"
109/09/29,"36,475,973","2,829,789,508",77.30,78.40,77.00,77.00,+0.10,"14,074"
109/09/30,"19,229,698","1,492,921,059",78.00,78.00,77.30,77.40,+0.40,"8,011"
109/10/05,"19,075,464","1,486,550,675",78.20,78.50,77.50,77.70,+0.30,"8,036"
109/10/06,"16,976,308","1,322,915,817",78.10,78.20,77.60,77.80,+0.10,"7,560"
109/10/07,"17,236,406","1,334,976,005",77.40,77.80,77.10,77.40,-0.40,"6,752"
109/10/08,"14,942,266","1,162,407,848",77.80,78.00,77.50,78.00,+0.60,"7,978"
109/10/12,"38,085,427","2,991,588,689",78.40,78.80,78.10,78.70,+0.70,"14,391"
109/10/13,"22,946,661","1,803,540,423",79.00,79.10,78.10,78.90,+0.20,"10,059"
109/10/14,"42,431,974","3,319,711,242",78.10,78.80,78.00,78.00,-0.90,"11,427"
109/10/15,"26,260,704","2,052,076,611",77.70,78.50,77.60,78.10,+0.10,"9,280"
109/10/16,"48,409,062","3,826,593,625",78.40,79.90,78.20,78.60,+0.50,"21,575"
109/10/19,"85,721,985","6,933,767,387",80.00,81.50,79.70,81.30,+2.70,"41,492"
109/10/20,"45,688,857","3,719,173,202",81.50,82.00,80.80,81.40,+0.10,"23,005"
109/10/21,"32,456,107","2,621,588,828",81.50,81.50,80.30,80.40,-1.00,"14,481"
109/10/22,"24,773,904","1,997,772,128",80.80,80.80,80.30,80.80,+0.40,"9,087"
109/10/23,"18,968,821","1,533,150,361",81.20,81.40,80.50,80.70,-0.10,"7,944"
109/10/26,"14,376,600","1,155,662,321",81.10,81.10,80.00,80.20,-0.50,"7,849"
109/10/27,"21,240,221","1,694,981,771",79.90,80.00,79.40,80.00,-0.20,"9,012"
109/10/28,"33,914,127","2,673,591,837",79.40,79.70,78.20,78.30,-1.70,"16,485"
109/10/29,"30,618,945","2,376,702,905",77.60,78.20,76.80,78.00,-0.30,"15,101"
109/10/30,"26,399,018","2,048,506,123",77.60,78.20,77.10,77.50,-0.50,"9,463"
109/11/02,"17,820,319","1,388,494,460",77.50,78.30,77.40,78.30,+0.80,"8,075"
109/11/03,"14,624,015","1,146,787,065",78.50,78.80,78.10,78.30, 0.00,"7,545"
109/11/04,"18,927,508","1,490,884,001",78.40,79.40,78.00,78.80,+0.50,"7,641"
109/11/05,"14,675,062","1,157,728,567",79.00,79.30,78.50,79.00,+0.20,"6,177"
